detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,10,24,8,normal,0.5150206089019775,0.38533496856689453,0.10048604011535645,0.025895118713378906,0.0030012130737304688,6.270651817321777,0,210,0,0
Hamming,10,24,8,anomalous,0.5150206089019775,0.38533496856689453,0.10048604011535645,0.025895118713378906,0.003261089324951172,6.281214475631714,0,0,0,210
Hamming,10,24,9,normal,0.5470941066741943,0.4179980754852295,0.09983658790588379,0.026259899139404297,0.0029938220977783203,6.262501955032349,0,210,0,0
Hamming,10,24,9,anomalous,0.5470941066741943,0.4179980754852295,0.09983658790588379,0.026259899139404297,0.0030007362365722656,6.238436937332153,0,0,0,210
Hamming,10,24,10,normal,0.5031061172485352,0.3783280849456787,0.09627079963684082,0.02549910545349121,0.0030014514923095703,6.201639652252197,0,210,0,0
Hamming,10,24,10,anomalous,0.5031061172485352,0.3783280849456787,0.09627079963684082,0.02549910545349121,0.003265857696533203,6.312428712844849,0,0,0,210
Hamming,15,24,1,normal,0.5272152423858643,0.3951725959777832,0.09978628158569336,0.028249025344848633,0.004007577896118164,7.025328636169434,0,210,0,0
Hamming,15,24,1,anomalous,0.5272152423858643,0.3951725959777832,0.09978628158569336,0.028249025344848633,0.00400090217590332,7.056569814682007,0,0,0,210
Hamming,15,24,2,normal,0.6349430084228516,0.5039749145507812,0.10002255439758301,0.027744770050048828,0.004170656204223633,7.030137062072754,0,210,0,0
Hamming,15,24,2,anomalous,0.6349430084228516,0.5039749145507812,0.10002255439758301,0.027744770050048828,0.004001140594482422,7.0757551193237305,0,0,0,210
Hamming,15,24,3,normal,0.5439436435699463,0.41001129150390625,0.1013498306274414,0.02858138084411621,0.004273176193237305,7.061906337738037,0,210,0,0
Hamming,15,24,3,anomalous,0.5439436435699463,0.41001129150390625,0.1013498306274414,0.02858138084411621,0.005147457122802734,7.062481641769409,0,0,0,210
Hamming,15,24,4,normal,0.5483012199401855,0.4138519763946533,0.10235238075256348,0.028089523315429688,0.006182670593261719,7.056469917297363,0,210,0,0
Hamming,15,24,4,anomalous,0.5483012199401855,0.4138519763946533,0.10235238075256348,0.028089523315429688,0.0039958953857421875,7.040027618408203,0,0,0,210
Hamming,15,24,5,normal,0.5758218765258789,0.4426600933074951,0.1011505126953125,0.02800583839416504,0.0040128231048583984,7.038060903549194,0,210,0,0
Hamming,15,24,5,anomalous,0.5758218765258789,0.4426600933074951,0.1011505126953125,0.02800583839416504,0.00399470329284668,7.053061485290527,0,0,0,210
Hamming,15,24,6,normal,0.566399097442627,0.42278051376342773,0.10144400596618652,0.038173675537109375,0.004236459732055664,7.006466627120972,0,210,0,0
