detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2predict,tp,tn,fp,fn
Hamming,35,24,1,normal,2.064973831176758,0.5146808624267578,0,209,1,0
Hamming,35,24,1,anomalous,2.064973831176758,0.5078768730163574,2,0,0,208
Hamming,35,24,2,normal,2.0664501190185547,0.5142898559570312,0,203,7,0
Hamming,35,24,2,anomalous,2.0664501190185547,0.5120010375976562,4,0,0,206
Hamming,35,24,3,normal,2.066272020339966,0.5055186748504639,0,203,7,0
Hamming,35,24,3,anomalous,2.066272020339966,0.519676923751831,4,0,0,206
Hamming,35,24,4,normal,2.072679042816162,0.5034420490264893,0,203,7,0
Hamming,35,24,4,anomalous,2.072679042816162,0.5211441516876221,4,0,0,206
Hamming,35,24,5,normal,2.065355062484741,0.5076348781585693,0,203,7,0
Hamming,35,24,5,anomalous,2.065355062484741,0.5187368392944336,4,0,0,206
Hamming,35,24,6,normal,2.074847936630249,0.505964994430542,0,203,7,0
Hamming,35,24,6,anomalous,2.074847936630249,0.5228278636932373,4,0,0,206
Hamming,35,24,7,normal,2.066560983657837,0.5058531761169434,0,203,7,0
Hamming,35,24,7,anomalous,2.066560983657837,0.5232720375061035,4,0,0,206
Hamming,35,24,8,normal,2.0717806816101074,0.5096657276153564,0,203,7,0
Hamming,35,24,8,anomalous,2.0717806816101074,0.5156867504119873,4,0,0,206
Hamming,35,24,9,normal,2.061145782470703,0.5227372646331787,0,188,22,0
Hamming,35,24,9,anomalous,2.061145782470703,0.5123069286346436,13,0,0,197
Hamming,35,24,10,normal,2.0707550048828125,0.5160970687866211,0,188,22,0
Hamming,35,24,10,anomalous,2.0707550048828125,0.5106418132781982,13,0,0,197
Hamming,40,24,1,normal,2.254716157913208,0.5587530136108398,0,208,2,0
Hamming,40,24,1,anomalous,2.254716157913208,0.5679540634155273,1,0,0,209
Hamming,40,24,2,normal,2.2581398487091064,0.5591988563537598,0,202,8,0
Hamming,40,24,2,anomalous,2.2581398487091064,0.5669760704040527,5,0,0,205
Hamming,40,24,3,normal,2.2488110065460205,0.560309886932373,0,202,8,0
Hamming,40,24,3,anomalous,2.2488110065460205,0.5581860542297363,5,0,0,205
Hamming,40,24,4,normal,2.2697601318359375,0.5571658611297607,0,202,8,0
Hamming,40,24,4,anomalous,2.2697601318359375,0.5651419162750244,5,0,0,205
Hamming,40,24,5,normal,2.277169942855835,0.559556245803833,0,187,23,0
