detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Canberra,40,170,1,testing,0.021776676177978516,0.020722627639770508,0.0010540485382080078,0.0,0.0015718936920166016,0.02016735076904297,3,0,0,0
Canberra,40,170,2.5,testing,0.033600568771362305,0.0030553340911865234,0.005980253219604492,0.0009477138519287109,0.015296697616577148,0.024509906768798828,3,0,0,0
Canberra,40,170,5,testing,0.028740644454956055,0.007841348648071289,0.0010006427764892578,0.000993490219116211,0.010003328323364258,0.024967193603515625,3,0,0,0
Canberra,40,170,7.5,testing,0.0191042423248291,0.008101463317871094,0.0009992122650146484,0.001005411148071289,0.010276079177856445,0.023432016372680664,3,0,0,0
Canberra,40,170,10,testing,0.019500732421875,0.007993221282958984,0.0010106563568115234,0.0009729862213134766,0.009648323059082031,0.022539377212524414,3,0,0,0
Canberra,50,170,1,testing,0.02010202407836914,0.008143186569213867,0.0009980201721191406,0.0010006427764892578,0.005505084991455078,0.023679733276367188,3,0,0,0
Canberra,50,170,2.5,testing,0.02210378646850586,0.008659124374389648,0.002001523971557617,0.0009937286376953125,0.013679742813110352,0.022145748138427734,3,0,0,0
Canberra,50,170,5,testing,0.020409584045410156,0.008180379867553711,0.0007731914520263672,0.0010120868682861328,0.011697053909301758,0.026257753372192383,3,0,0,0
Canberra,50,170,7.5,testing,0.019927501678466797,0.008059978485107422,0.000989675521850586,0.0,0.012688398361206055,0.04090452194213867,3,0,0,0
Canberra,50,170,10,testing,0.02093362808227539,0.007963418960571289,0.0010113716125488281,0.0009951591491699219,0.012002944946289062,0.025397777557373047,3,0,0,0
Lorentzian,10,170,1,testing,0.00899648666381836,0.004988431930541992,0.00200653076171875,0.0,0.004006624221801758,0.007004499435424805,0,0,0,3
Lorentzian,10,170,2.5,testing,0.009608983993530273,0.0060122013092041016,0.0014727115631103516,0.0,0.0031757354736328125,0.009626150131225586,0,0,0,3
Lorentzian,10,170,5,testing,0.010023832321166992,0.005166292190551758,0.0009965896606445312,0.0009992122650146484,0.0029947757720947266,0.007005214691162109,0,0,0,3
Lorentzian,10,170,7.5,testing,0.00994873046875,0.005948781967163086,0.0019996166229248047,0.0,0.0030007362365722656,0.00599980354309082,0,0,0,3
Lorentzian,10,170,10,testing,0.010600566864013672,0.00700068473815918,0.0012392997741699219,0.0003597736358642578,0.0038559436798095703,0.006949663162231445,0,0,0,3
Lorentzian,20,170,1,testing,0.01326608657836914,0.008006095886230469,0.0013928413391113281,0.0,0.005034923553466797,0.011992692947387695,0,0,0,3
Lorentzian,20,170,2.5,testing,0.012002229690551758,0.0059964656829833984,0.0010001659393310547,0.0010051727294921875,0.0,0.010837793350219727,0,0,0,3
Lorentzian,20,170,5,testing,0.012829303741455078,0.006672382354736328,0.0010073184967041016,0.0,0.004992961883544922,0.0119781494140625,0,0,0,3
Lorentzian,20,170,7.5,testing,0.011834859848022461,0.0058367252349853516,0.0019893646240234375,0.0,0.0057125091552734375,0.01080632209777832,0,0,0,3
Lorentzian,20,170,10,testing,0.012828350067138672,0.006769895553588867,0.0008141994476318359,0.0012485980987548828,0.005187511444091797,0.013614177703857422,0,0,0,3
Lorentzian,30,170,1,testing,0.015002727508544922,0.007002115249633789,0.0019943714141845703,0.0,0.0069904327392578125,0.015630483627319336,0,0,0,3
Lorentzian,30,170,2.5,testing,0.014806509017944336,0.005987405776977539,0.002399444580078125,0.00041365623474121094,0.007026195526123047,0.016338348388671875,0,0,0,3
Lorentzian,30,170,5,testing,0.014765501022338867,0.006888389587402344,0.0010001659393310547,0.0009999275207519531,0.017587661743164062,0.0029168128967285156,0,0,0,3
Lorentzian,30,170,7.5,testing,0.015002965927124023,0.007002592086791992,0.0009996891021728516,0.0009946823120117188,0.01322317123413086,0.011878490447998047,0,0,0,3
Lorentzian,30,170,10,testing,0.014212369918823242,0.0062024593353271484,0.002007007598876953,0.0,0.0,0.020188331604003906,0,0,0,3
Lorentzian,40,170,1,testing,0.02100515365600586,0.0,0.0,0.0,0.00879526138305664,0.019931316375732422,0,0,0,3
Lorentzian,40,170,2.5,testing,0.017839431762695312,0.007008075714111328,0.001005411148071289,0.0010001659393310547,0.009001493453979492,0.020657062530517578,0,0,0,3
Lorentzian,40,170,5,testing,0.017101764678955078,0.007101774215698242,0.0019981861114501953,0.0,0.009697675704956055,0.0202333927154541,0,0,0,3
Lorentzian,40,170,7.5,testing,0.01700425148010254,0.007001638412475586,0.0020017623901367188,0.0,0.009013891220092773,0.023823261260986328,0,0,0,3
Lorentzian,40,170,10,testing,0.018468856811523438,0.008008241653442383,0.0015170574188232422,0.0004036426544189453,0.008997440338134766,0.021001100540161133,0,0,0,3
Lorentzian,50,170,1,testing,0.024372100830078125,0.00974583625793457,0.002003192901611328,0.0,0.003511667251586914,0.024593591690063477,0,0,0,3
Lorentzian,50,170,2.5,testing,0.02099919319152832,0.008007287979125977,0.0009999275207519531,0.000989675521850586,0.011398553848266602,0.026511669158935547,0,0,0,3
Lorentzian,50,170,5,testing,0.02019023895263672,0.006995201110839844,0.002000570297241211,0.0010004043579101562,0.012746334075927734,0.026159048080444336,0,0,0,3
Lorentzian,50,170,7.5,testing,0.020674705505371094,0.006712198257446289,0.0019903182983398438,0.0010001659393310547,0.010954618453979492,0.025476932525634766,0,0,0,3
Lorentzian,50,170,10,testing,0.02311539649963379,0.009303092956542969,0.001999378204345703,0.0,0.011010885238647461,0.025986909866333008,0,0,0,3
Kulczynski,10,170,1,testing,0.010001420974731445,0.006003141403198242,0.000997781753540039,0.0,0.003992795944213867,0.006028175354003906,2,0,0,1
Kulczynski,10,170,2.5,testing,0.010622978210449219,0.0055654048919677734,0.0020093917846679688,0.0,0.005164384841918945,0.011479854583740234,3,0,0,0
Kulczynski,10,170,5,testing,0.017038345336914062,0.0028345584869384766,0.009201526641845703,0.0010006427764892578,0.0029981136322021484,0.00961160659790039,3,0,0,0
Kulczynski,10,170,7.5,testing,0.010376214981079102,0.006078243255615234,0.0009982585906982422,0.0,0.0029985904693603516,0.00800180435180664,3,0,0,0
Kulczynski,10,170,10,testing,0.010115623474121094,0.006463050842285156,0.0006504058837890625,0.0010006427764892578,0.003004789352416992,0.011142492294311523,3,0,0,0
