detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,40,84,2.5,anomalous,0.6021699905395508,0.160552978515625,6,0,0,54
Hamming,40,84,5,normal,0.5996689796447754,0.14715790748596191,0,55,5,0
Hamming,40,84,5,anomalous,0.5996689796447754,0.15335798263549805,11,0,0,49
Hamming,40,84,10,normal,0.6015057563781738,0.14757513999938965,0,50,10,0
Hamming,40,84,10,anomalous,0.6015057563781738,0.15969204902648926,24,0,0,36
Hamming,40,84,15,normal,0.6015863418579102,0.14750385284423828,0,45,15,0
Hamming,40,84,15,anomalous,0.6015863418579102,0.15387916564941406,27,0,0,33
Hamming,50,84,1,normal,0.7097048759460449,0.17339205741882324,0,58,2,0
Hamming,50,84,1,anomalous,0.7097048759460449,0.18854689598083496,2,0,0,58
Hamming,50,84,2.5,normal,0.7090780735015869,0.17405390739440918,0,58,2,0
Hamming,50,84,2.5,anomalous,0.7090780735015869,0.17900776863098145,2,0,0,58
Hamming,50,84,5,normal,0.7113609313964844,0.17189693450927734,0,52,8,0
Hamming,50,84,5,anomalous,0.7113609313964844,0.17905020713806152,8,0,0,52
Hamming,50,84,10,normal,0.7082657814025879,0.1727149486541748,0,48,12,0
Hamming,50,84,10,anomalous,0.7082657814025879,0.17994403839111328,13,0,0,47
Hamming,50,84,15,normal,0.703819990158081,0.17253923416137695,0,44,16,0
Hamming,50,84,15,anomalous,0.703819990158081,0.18604207038879395,22,0,0,38
Hamming,10,168,1,normal,0.17188310623168945,0.04304790496826172,0,29,1,0
Hamming,10,168,1,anomalous,0.17188310623168945,0.044489145278930664,2,0,0,28
Hamming,10,168,2.5,normal,0.17541980743408203,0.04315066337585449,0,29,1,0
Hamming,10,168,2.5,anomalous,0.17541980743408203,0.04443001747131348,2,0,0,28
Hamming,10,168,5,normal,0.17187190055847168,0.043260812759399414,0,29,1,0
Hamming,10,168,5,anomalous,0.17187190055847168,0.045307159423828125,2,0,0,28
Hamming,10,168,10,normal,0.17253708839416504,0.04311990737915039,0,28,2,0
Hamming,10,168,10,anomalous,0.17253708839416504,0.05042695999145508,9,0,0,21
Hamming,10,168,15,normal,0.1741189956665039,0.043569087982177734,0,26,4,0
Hamming,10,168,15,anomalous,0.1741189956665039,0.04698324203491211,18,0,0,12
Hamming,20,168,1,normal,0.21979331970214844,0.05503487586975098,0,29,1,0
Hamming,20,168,1,anomalous,0.21979331970214844,0.058732032775878906,3,0,0,27
Hamming,20,168,2.5,normal,0.22107291221618652,0.05484414100646973,0,29,1,0
Hamming,20,168,2.5,anomalous,0.22107291221618652,0.05904364585876465,4,0,0,26
Hamming,20,168,5,normal,0.21909499168395996,0.056101083755493164,0,29,1,0
Hamming,20,168,5,anomalous,0.21909499168395996,0.06002187728881836,4,0,0,26
Hamming,20,168,10,normal,0.22141790390014648,0.057946205139160156,0,28,2,0
Hamming,20,168,10,anomalous,0.22141790390014648,0.0605471134185791,14,0,0,16
Hamming,20,168,15,normal,0.22148919105529785,0.055268049240112305,0,26,4,0
Hamming,20,168,15,anomalous,0.22148919105529785,0.05927610397338867,19,0,0,11
Hamming,30,168,1,normal,0.2714231014251709,0.06749391555786133,0,29,1,0
Hamming,30,168,1,anomalous,0.2714231014251709,0.0710439682006836,4,0,0,26
Hamming,30,168,2.5,normal,0.26900410652160645,0.07162189483642578,0,29,1,0
Hamming,30,168,2.5,anomalous,0.26900410652160645,0.07565116882324219,6,0,0,24
Hamming,30,168,5,normal,0.26929807662963867,0.06689620018005371,0,29,1,0
Hamming,30,168,5,anomalous,0.26929807662963867,0.07368588447570801,12,0,0,18
Hamming,30,168,10,normal,0.2678399085998535,0.0674290657043457,0,28,2,0
Hamming,30,168,10,anomalous,0.2678399085998535,0.07105684280395508,20,0,0,10
