detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,15,24,1,normal,1.201051950454712,0.2935512065887451,0,210,0,0
Hamming,15,24,1,anomalous,1.201051950454712,0.30063414573669434,0,0,0,210
Hamming,15,24,2,normal,1.2020540237426758,0.29250502586364746,0,210,0,0
Hamming,15,24,2,anomalous,1.2020540237426758,0.30109500885009766,0,0,0,210
Hamming,15,24,3,normal,1.1928036212921143,0.30138587951660156,0,210,0,0
Hamming,15,24,3,anomalous,1.1928036212921143,0.30282115936279297,0,0,0,210
Hamming,15,24,4,normal,1.1962659358978271,0.2913949489593506,0,210,0,0
Hamming,15,24,4,anomalous,1.1962659358978271,0.309798002243042,0,0,0,210
Hamming,15,24,5,normal,1.1937768459320068,0.29125308990478516,0,210,0,0
Hamming,15,24,5,anomalous,1.1937768459320068,0.30901479721069336,0,0,0,210
Hamming,15,24,6,normal,1.2198939323425293,0.31522083282470703,0,210,0,0
Hamming,15,24,6,anomalous,1.2198939323425293,0.3621978759765625,0,0,0,210
Hamming,15,24,7,normal,1.2770788669586182,0.35322093963623047,0,210,0,0
Hamming,15,24,7,anomalous,1.2770788669586182,0.3111131191253662,0,0,0,210
Hamming,15,24,8,normal,1.239640712738037,0.29950904846191406,0,183,27,0
Hamming,15,24,8,anomalous,1.239640712738037,0.40479087829589844,9,0,0,201
Hamming,15,24,9,normal,1.5247271060943604,0.3860900402069092,0,183,27,0
Hamming,15,24,9,anomalous,1.5247271060943604,0.37042927742004395,9,0,0,201
Hamming,15,24,10,normal,1.4942898750305176,0.3340940475463867,0,183,27,0
Hamming,15,24,10,anomalous,1.4942898750305176,0.3600349426269531,9,0,0,201
Hamming,20,24,1,normal,1.3492088317871094,0.33849596977233887,0,209,1,0
Hamming,20,24,1,anomalous,1.3492088317871094,0.3492929935455322,2,0,0,208
Hamming,20,24,2,normal,1.3671448230743408,0.3397250175476074,0,209,1,0
Hamming,20,24,2,anomalous,1.3671448230743408,0.3410799503326416,2,0,0,208
Hamming,20,24,3,normal,1.3544790744781494,0.3364369869232178,0,198,12,0
Hamming,20,24,3,anomalous,1.3544790744781494,0.3411531448364258,21,0,0,189
Hamming,20,24,4,normal,1.361180067062378,0.3565380573272705,0,198,12,0
Hamming,20,24,4,anomalous,1.361180067062378,0.33894777297973633,21,0,0,189
Hamming,20,24,5,normal,1.3639938831329346,0.33921003341674805,0,198,12,0
Hamming,20,24,5,anomalous,1.3639938831329346,0.3414461612701416,21,0,0,189
Hamming,20,24,6,normal,1.614915132522583,0.3426351547241211,0,198,12,0
Hamming,20,24,6,anomalous,1.614915132522583,0.3521549701690674,21,0,0,189
Hamming,20,24,7,normal,1.4113829135894775,0.33435511589050293,0,198,12,0
Hamming,20,24,7,anomalous,1.4113829135894775,0.349107027053833,21,0,0,189
Hamming,20,24,8,normal,1.3710551261901855,0.33004212379455566,0,198,12,0
Hamming,20,24,8,anomalous,1.3710551261901855,0.3482050895690918,21,0,0,189
Hamming,20,24,9,normal,1.3697421550750732,0.3317749500274658,0,171,39,0
Hamming,20,24,9,anomalous,1.3697421550750732,0.3483850955963135,31,0,0,179
Hamming,20,24,10,normal,1.354797124862671,0.333942174911499,0,171,39,0
Hamming,20,24,10,anomalous,1.354797124862671,0.35158801078796387,31,0,0,179
Hamming,25,24,1,normal,1.531001091003418,0.38135290145874023,0,209,1,0
Hamming,25,24,1,anomalous,1.531001091003418,0.3856379985809326,2,0,0,208
Hamming,25,24,2,normal,1.5358467102050781,0.38282012939453125,0,209,1,0
Hamming,25,24,2,anomalous,1.5358467102050781,0.3833770751953125,2,0,0,208
Hamming,25,24,3,normal,1.5325920581817627,0.3716738224029541,0,209,1,0
Hamming,25,24,3,anomalous,1.5325920581817627,0.39140987396240234,2,0,0,208
Hamming,25,24,4,normal,1.5323188304901123,0.37412381172180176,0,209,1,0
Hamming,25,24,4,anomalous,1.5323188304901123,0.3910510540008545,2,0,0,208
Hamming,25,24,5,normal,1.5398828983306885,0.38269591331481934,0,209,1,0
Hamming,25,24,5,anomalous,1.5398828983306885,0.38541626930236816,2,0,0,208
Hamming,25,24,6,normal,1.5562090873718262,0.37372398376464844,0,209,1,0
Hamming,25,24,6,anomalous,1.5562090873718262,0.38168787956237793,2,0,0,208
Hamming,25,24,7,normal,1.5327842235565186,0.37302470207214355,0,209,1,0
Hamming,25,24,7,anomalous,1.5327842235565186,0.39510130882263184,2,0,0,208
Hamming,25,24,8,normal,1.5328428745269775,0.381558895111084,0,209,1,0
Hamming,25,24,8,anomalous,1.5328428745269775,0.38611721992492676,2,0,0,208
Hamming,25,24,9,normal,1.5353116989135742,0.37314581871032715,0,194,16,0
Hamming,25,24,9,anomalous,1.5353116989135742,0.3851761817932129,13,0,0,197
Hamming,25,24,10,normal,1.5381650924682617,0.3746659755706787,0,194,16,0
Hamming,25,24,10,anomalous,1.5381650924682617,0.3916819095611572,13,0,0,197
Hamming,30,24,1,normal,1.691856861114502,0.4228169918060303,0,205,5,0
Hamming,30,24,1,anomalous,1.691856861114502,0.4221498966217041,5,0,0,205
Hamming,30,24,2,normal,1.7052080631256104,0.41307592391967773,0,205,5,0
Hamming,30,24,2,anomalous,1.7052080631256104,0.4321777820587158,5,0,0,205
