DT,Usage
12927,0.13
12928,0.14
12929,0.14
12930,0.12
12931,0.07
12932,0.05
12933,0.01
12934,0.0
12935,0.0
12936,0.0
12937,0.0
12938,0.0
12939,0.0
12940,0.0
12941,0.0
12942,0.0
12943,0.0
12944,0.0
12945,0.0
12946,0.0
12947,0.01
12948,0.0
13001,0.0
13002,0.0
13003,0.0
13004,0.0
13005,0.0
13006,0.0
13007,0.0
13008,0.0
13009,0.0
13010,0.0
13011,0.0
13012,0.0
13013,0.0
13014,0.0
13015,0.0
13016,0.0
13017,0.01
13018,0.04
13019,0.12
13020,0.22
13021,0.23
13022,0.31
13023,0.44
13024,0.38
13025,0.16
13026,0.29
13027,0.43
13028,0.46
13029,0.16
13030,0.06
13031,0.03
13032,0.02
13033,0.01
13034,0.01
13035,0.0
13036,0.0
13037,0.0
13038,0.0
13039,0.0
13040,0.0
13041,0.0
13042,0.0
13043,0.0
13044,0.0
13045,0.0
13046,0.0
13047,0.0
13048,0.0
13101,0.0
13102,0.0
13103,0.0
13104,0.0
13105,0.0
13106,0.0
13107,0.0
13108,0.0
13109,0.0
13110,0.0
13111,0.0
13112,0.0
13113,0.0
13114,0.0
13115,0.01
13116,0.02
13117,0.19
13118,0.29
13119,0.36
13120,0.42
13121,0.47
13122,0.51
13123,0.53
13124,0.49
13125,0.54
13126,0.54
13127,0.54
13128,0.48
13129,0.26
13130,0.03
13131,0.02
13132,0.01
13133,0.01
13134,0.01
13135,0.0
13136,0.0
13137,0.0
13138,0.0
13139,0.0
13140,0.0
13141,0.0
13142,0.0
13143,0.0
13144,0.0
13145,0.0
13146,0.0
13147,0.0
13148,0.0
13201,0.0
13202,0.0
13203,0.0
13204,0.0
13205,0.0
13206,0.0
13207,0.0
13208,0.0
13209,0.0
13210,0.0
13211,0.0
13212,0.0
13213,0.0
13214,0.0
13215,0.02
13216,0.03
13217,0.19
13218,0.29
13219,0.27
13220,0.23
13221,0.05
13222,0.07
13223,0.37
13224,0.23
13225,0.05
13226,0.12
13227,0.24
13228,0.29
13229,0.04
13230,0.04
13231,0.01
13232,0.03
13233,0.04
13234,0.01
